iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
496,1,2,0,1,1,0,2,0,3,0
497,1,1,0,1,2,3,1,0,0,0
498,1,1,0,2,2,1,0,0,1,0
499,0,3,0,2,1,0,0,0,0,0
500,0,0,0,2,1,1,0,0,0,0
501,0,1,0,0,1,1,0,0,0,0
502,0,0,0,1,2,2,2,0,0,0
503,3,4,3,2,2,0,1,0,1,0
504,0,2,0,1,0,3,1,0,2,0
505,0,1,0,3,1,0,3,0,4,0
506,0,1,0,1,2,4,2,0,0,0
507,1,0,0,1,1,0,3,0,0,0
508,0,3,7,0,0,0,0,0,3,0
509,0,1,1,3,3,0,0,0,1,0
510,0,1,0,1,1,1,1,0,0,0
511,1,3,4,1,0,1,3,0,4,0
512,1,0,0,0,2,2,3,0,1,0
513,2,3,0,1,1,0,2,0,0,0
514,0,3,1,0,0,2,2,0,2,0
515,0,4,1,1,0,1,0,0,3,0
516,1,4,4,1,0,0,2,0,2,0
517,3,2,0,2,0,0,1,0,1,0
518,2,4,2,1,1,1,2,0,1,0
519,1,4,3,3,0,0,2,0,1,0
520,0,0,1,1,0,1,0,0,2,0
521,0,1,1,0,1,1,0,0,2,0
522,0,1,0,2,1,0,0,0,0,0
523,2,0,2,1,1,0,2,0,2,0
524,1,3,1,1,0,0,2,0,5,0
525,1,1,0,4,1,0,2,0,1,0
526,1,2,0,0,1,0,1,0,1,0
527,1,0,0,2,1,4,1,0,0,0
528,2,4,3,1,1,0,5,0,3,0
529,2,3,4,3,0,0,4,0,3,0
530,3,1,1,1,3,1,2,0,1,0
531,2,4,0,1,1,1,2,0,0,0
532,2,2,2,1,0,1,3,0,5,0
533,1,2,0,2,2,0,2,0,2,0
534,1,5,0,0,0,3,2,0,2,0
535,1,2,0,2,1,1,4,0,0,0
536,0,1,2,2,1,0,3,0,4,0
537,0,4,2,3,1,1,3,0,3,0
538,3,2,0,3,0,1,2,0,0,0
539,1,3,0,5,0,0,3,0,0,0
540,0,4,2,2,0,0,3,0,1,0
541,0,3,0,1,2,1,3,0,2,0
542,3,0,0,1,0,0,2,0,2,0
543,2,1,0,5,2,1,0,0,1,0
544,1,3,3,0,1,0,0,0,1,0
545,0,1,0,2,0,0,2,0,3,0
546,2,3,0,0,2,0,4,0,0,0
547,0,1,5,0,0,0,0,0,4,0
548,1,0,0,0,1,1,2,0,2,0
549,1,3,1,1,0,1,1,0,3,0
550,1,4,1,1,1,0,2,0,2,0
551,0,1,0,2,1,0,1,0,0,0
552,2,3,2,2,3,1,3,0,3,0
553,1,1,1,2,0,2,4,0,2,0
554,1,2,1,6,2,1,1,0,2,0
555,0,0,0,0,2,1,2,0,2,0
556,1,4,2,1,0,0,2,0,1,0
557,2,2,0,2,0,1,1,0,2,0
558,0,2,0,2,1,0,1,0,1,0
559,1,1,0,2,1,2,3,0,0,0
560,1,3,0,0,4,2,2,0,0,0
561,3,3,0,3,0,0,2,0,0,0
562,1,1,0,0,1,0,0,0,0,0
563,2,0,1,2,0,0,1,0,1,0
564,1,2,1,1,1,1,3,0,2,0
565,0,1,0,1,2,2,3,0,0,0
566,1,1,0,2,0,1,2,0,2,0
567,1,1,3,1,0,0,1,0,3,0
568,0,0,0,1,1,0,4,0,0,0
569,1,1,1,2,2,2,2,0,1,0
570,1,4,0,3,1,0,1,0,2,0
571,0,1,0,2,1,3,1,0,1,0
572,0,4,2,2,2,0,1,0,3,0
573,1,0,0,2,3,0,2,0,1,0
574,0,2,0,0,1,1,2,0,1,0
575,1,2,0,0,1,1,1,0,1,0
576,1,0,4,1,1,1,2,0,2,0
577,1,1,1,4,1,0,2,0,2,0
578,2,3,0,0,2,0,3,0,1,0
579,0,5,0,1,1,5,3,0,1,0
580,0,2,0,0,1,0,2,0,1,0
581,3,4,2,5,0,0,3,0,2,0
582,0,3,0,2,2,2,1,0,0,0
583,6,0,0,1,0,1,0,0,5,0
584,2,6,0,2,1,1,1,0,3,0
585,0,1,0,0,0,0,1,0,1,0
